name,released_at,genre,streaming_on,country,type,content_rating,imdb_rating,number_of_seasons,cast_and_crew
Heaven & Earth,12/24/1993,"Action & Adventure, Drama","Hoopla, Prime Video",France,Movie,18+ (R),6.8/10,,"[{'name': 'Oliver Stone', 'description': 'director'}, {'name': 'Tommy Lee Jones', 'description': 'actor'}, {'name': 'Robert John Burke', 'description': 'actor'}, {'name': 'Timothy Carhart', 'description': 'actor'}, {'name': 'Tim Guinee', 'description': 'actor'}, {'name': 'Hiep Thi Le', 'description': 'actor'}, {'name': 'Debbie Reynolds', 'description': 'actor'}, {'name': 'Haing S. Ngor', 'description': 'actor'}, {'name': 'Joan Chen', 'description': 'actor'}, {'name': 'Dustin Nguyen', 'description': 'actor'}, {'name': 'Liem Whatley', 'description': 'actor'}, {'name': 'Vivian Wu', 'description': 'actor'}, {'name': 'Long Nguyen', 'description': 'actor'}, {'name': 'Conchata Ferrell', 'description': 'actor'}, {'name': 'Thuan K. Nguyen', 'description': 'actor'}, {'name': 'Espérance Pham Thai Lan', 'description': 'actor'}, {'name': 'Jeffrey Jones', 'description': 'actor'}, {'name': 'A. Kitman Ho', 'description': 'actor'}, {'name': 'Arnon Milchan', 'description': 'actor'}, {'name': 'Oliver Stone', 'description': 'actor'}, {'name': 'Robert Kline', 'description': 'actor'}, {'name': 'Mario Kassar', 'description': 'actor'}, {'name': 'Oliver Stone', 'description': 'author'}, {'name': 'Kitaro', 'description': 'actor'}]"
Caged,5/19/1950,"Crime, Drama",Prime Video ,America,Movie,,7.6/10,,"[{'name': 'John Cromwell', 'description': 'director'}, {'name': 'Eleanor Parker', 'description': 'actor'}, {'name': 'Agnes Moorehead', 'description': 'actor'}, {'name': 'Ellen Corby', 'description': 'actor'}, {'name': 'Hope Emerson', 'description': 'actor'}, {'name': 'Betty Garde', 'description': 'actor'}, {'name': 'Jan Sterling', 'description': 'actor'}, {'name': 'Lee Patrick', 'description': 'actor'}, {'name': 'Olive Deering', 'description': 'actor'}, {'name': 'Jane Darwell', 'description': 'actor'}, {'name': 'Gertrude Michael', 'description': 'actor'}, {'name': 'Sheila MacRae', 'description': 'actor'}, {'name': 'Gertrude Hoffmann', 'description': 'actor'}, {'name': 'Queenie Smith', 'description': 'actor'}, {'name': 'Don Beddoe', 'description': 'actor'}, {'name': 'Esther Howard', 'description': 'actor'}, {'name': 'Edith Evanson', 'description': 'actor'}, {'name': 'Grace Hayes', 'description': 'actor'}, {'name': 'Taylor Holmes', 'description': 'actor'}, {'name': 'Nita Talbot', 'description': 'actor'}, {'name': 'Sheila Stuart', 'description': 'actor'}, {'name': 'Hazel Keener', 'description': 'actor'}, {'name': 'Jerry Wald', 'description': 'actor'}, {'name': 'Virginia Kellogg', 'description': 'author'}]"
KAALA (Malayalam),1/1/2018,,"Prime Video, Prime Video",,Movie,,,,[]
中国性革命,3/25/2008,Documentary,Free Services,Canada,Movie,,5.9/10,,"[{'name': 'Josh Freed', 'description': 'director'}, {'name': 'Mikela Jay', 'description': 'actor'}]"
Building Wild,1/14/2014,"Home & Garden, Reality",Prime Video ,,TV Show,,7.3/10,2,"[{'name': 'Patrick Tuffy Bakaitis', 'description': 'actor'}]"
Black Ghost,5/28/2018,"Crime, Thriller",Free Services,Australia,Movie,,4.4/10,,"[{'name': 'Kathryn Goddard', 'description': 'director'}, {'name': 'Sean Schliwa', 'description': 'actor'}, {'name': 'Tammie West', 'description': 'actor'}, {'name': 'Tristan Balz', 'description': 'actor'}, {'name': 'Ron Arthurs', 'description': 'actor'}, {'name': 'Anthony Ciccotosto', 'description': 'actor'}, {'name': 'Sean Schliwa', 'description': 'author'}]"
Christmas Crash,1/1/2009,"Action & Adventure, Drama","Free Services, Prime Video",Canada,Movie,,4.8/10,,"[{'name': 'Terry Ingram', 'description': 'director'}, {'name': 'Michael Madsen', 'description': 'actor'}, {'name': 'Alexandra Paul', 'description': 'actor'}, {'name': 'Elyse Levesque', 'description': 'actor'}, {'name': 'Melanie Papalia', 'description': 'actor'}, {'name': 'Winston Rekert', 'description': 'actor'}, {'name': 'Ron Lea', 'description': 'actor'}, {'name': 'Brendan Penny', 'description': 'actor'}, {'name': 'Forbes Angus', 'description': 'actor'}, {'name': 'Chris Shields', 'description': 'actor'}, {'name': 'Wesley Salter', 'description': 'actor'}, {'name': 'Jack Nasser', 'description': 'actor'}, {'name': 'Jack Nasser', 'description': 'author'}, {'name': 'Joseph Nasser', 'description': 'author'}, {'name': 'Luis Cruz', 'description': 'author'}]"
Alien Chronicles,4/1/2020,Documentary,"Free Services, Prime Video",,TV Show,,,1,[]
The Azusa Street Project,,,"Free Services, Prime Video",,Movie,,4.2/10,,[]
HYDRA,5/24/2019,"Action & Adventure, Crime",Prime Video ,Japan,Movie,,5.8/10,,"[{'name': 'Kensuke Sonomura', 'description': 'director'}, {'name': 'Masanori Mimoto', 'description': 'actor'}, {'name': 'MIU', 'description': 'actor'}, {'name': 'Tasuku Nagase', 'description': 'actor'}, {'name': 'Takaya Aoyagi', 'description': 'actor'}, {'name': 'Takashi Nishina', 'description': 'actor'}, {'name': 'Tsutomu Uchigasaki', 'description': 'actor'}, {'name': 'Jiro Kaneko', 'description': 'author'}]"
First Signal,4/26/2021,"Drama, History","Free Services, Prime Video",America,Movie,,6.2/10,,"[{'name': 'Mark Lund', 'description': 'director'}, {'name': 'Paul Noonan', 'description': 'actor'}, {'name': 'Conor Timmis', 'description': 'actor'}, {'name': 'Wendy Hartman', 'description': 'actor'}, {'name': 'Patience McStravick', 'description': 'actor'}, {'name': 'Stephanie Eaton', 'description': 'actor'}, {'name': 'Mark Lund', 'description': 'author'}]"
Star Wars Galaxy of Creatures,10/14/2021,,Hulu,,TV Show,,6.4/10,1,[]
Lo azul del cielo,1/18/2013,"Drama, Romance",Prime Video ,Colombia,Movie,,6.7/10,,"[{'name': 'Juan Alfredo Uribe', 'description': 'director'}, {'name': 'Aldemar Correa', 'description': 'actor'}, {'name': 'María Gaviria', 'description': 'actor'}, {'name': 'John Álex Toro', 'description': 'actor'}, {'name': 'Noëlle Schonwald', 'description': 'actor'}, {'name': 'Ana María Sánchez', 'description': 'actor'}, {'name': 'Ruth Gabriel', 'description': 'actor'}, {'name': 'Carlos Arango', 'description': 'actor'}, {'name': 'Andres Felipe Gomez', 'description': 'actor'}, {'name': 'Juliana Quiceno', 'description': 'actor'}, {'name': 'Jaime Correa', 'description': 'actor'}, {'name': 'Hector Gomez', 'description': 'actor'}, {'name': 'Andrés Felipe Torres', 'description': 'actor'}, {'name': 'Mario Wilson Bustamante', 'description': 'actor'}, {'name': 'Julián Bustamante', 'description': 'actor'}, {'name': 'Henry Rincón', 'description': 'actor'}, {'name': 'Simón Rivera', 'description': 'actor'}, {'name': 'Iti Fernández', 'description': 'actor'}, {'name': 'Juan Alfredo Uribe', 'description': 'actor'}, {'name': 'Juan Alfredo Uribe', 'description': 'author'}]"
Lady of the Damned Forest,11/17/2017,"Action & Adventure, Fantasy","Free Services, Prime Video",Spain,Movie,,5.4/10,,"[{'name': 'George Karja', 'description': 'director'}, {'name': 'Bea Urzaiz', 'description': 'actor'}, {'name': 'Daniela M. Xandru', 'description': 'actor'}, {'name': 'George Karja', 'description': 'actor'}, {'name': 'José Fopiani', 'description': 'actor'}, {'name': 'Gisela Carrera', 'description': 'actor'}, {'name': 'Rubén del Álamo Gómez', 'description': 'actor'}, {'name': 'George Karja', 'description': 'author'}]"
Angeli - Una Storia D'Amore,10/8/2014,Mystery,"Free Services, Prime Video",Italy,Movie,,5.4/10,,"[{'name': 'Stefano Reali', 'description': 'director'}, {'name': 'Marco Bonini', 'description': 'actor'}, {'name': 'Raoul Bova', 'description': 'actor'}, {'name': 'Vanessa Incontrada', 'description': 'actor'}, {'name': 'Alberto Amoretti', 'description': 'author'}, {'name': 'Stefano Reali', 'description': 'author'}]"
Inside Game,11/1/2019,"Crime, Drama","Free Services, Prime Video",America,Movie,18+ (R),5.7/10,,"[{'name': 'Randall Batinkoff', 'description': 'director'}, {'name': 'Lindsey Morgan', 'description': 'actor'}, {'name': ""Michael O'Keefe"", 'description': 'actor'}, {'name': 'Scott Wolf', 'description': 'actor'}, {'name': 'Will Sasso', 'description': 'actor'}, {'name': 'Berto Colon', 'description': 'actor'}, {'name': 'Michael Iacono', 'description': 'actor'}, {'name': 'Reggie Lee', 'description': 'actor'}, {'name': 'Randall Batinkoff', 'description': 'actor'}, {'name': 'Andy Callahan', 'description': 'author'}]"
The Final Project,2/12/2016,"Horror, Mystery","Free Services, Prime Video",America,Movie,,2.9/10,,"[{'name': ""Taylor Ri'chard"", 'description': 'director'}, {'name': 'Benjie Anderson', 'description': 'actor'}, {'name': 'Amber Erwin', 'description': 'actor'}, {'name': 'Tiffany Ford', 'description': 'actor'}, {'name': 'Teal Haddock', 'description': 'actor'}, {'name': 'Arin Jones', 'description': 'actor'}, {'name': 'Robert McCarley', 'description': 'actor'}, {'name': 'Evan McLean', 'description': 'actor'}, {'name': 'Charles Orr', 'description': 'actor'}, {'name': 'Leonardo Santaiti', 'description': 'actor'}, {'name': 'Sergio Suave', 'description': 'actor'}, {'name': 'Jejuan Walker', 'description': 'actor'}, {'name': 'Susan Woodard', 'description': 'actor'}, {'name': ""Taylor Ri'chard"", 'description': 'author'}, {'name': 'Zachary Davis', 'description': 'author'}]"
Fishbowl,8/13/2021,Drama,"Free Services, Prime Video",,Movie,,7.6/10,,"[{'name': 'Jacqueline Chan', 'description': 'director'}]"
Bite the Bullet,9/26/1975,Action & Adventure,"Free Services, Prime Video",America,Movie,7+ (PG),6.6/10,,"[{'name': 'Richard Brooks', 'description': 'director'}, {'name': 'Gene Hackman', 'description': 'actor'}, {'name': 'Candice Bergen', 'description': 'actor'}, {'name': 'James Coburn', 'description': 'actor'}, {'name': 'Ben Johnson', 'description': 'actor'}, {'name': 'Ian Bannen', 'description': 'actor'}, {'name': 'Jan-Michael Vincent', 'description': 'actor'}, {'name': 'Dabney Coleman', 'description': 'actor'}, {'name': 'Sally Kirkland', 'description': 'actor'}, {'name': 'Buddy Van Horn', 'description': 'actor'}, {'name': 'Jean Willes', 'description': 'actor'}, {'name': 'Mario Arteaga', 'description': 'actor'}, {'name': 'Robert Donner', 'description': 'actor'}, {'name': 'Lucia Canales', 'description': 'actor'}, {'name': 'John McLiam', 'description': 'actor'}, {'name': 'Robert F. Hoy', 'description': 'actor'}, {'name': 'Jerry Gatlin', 'description': 'actor'}, {'name': 'Walter Scott', 'description': 'actor'}, {'name': 'William H. Burton Jr.', 'description': 'actor'}, {'name': 'Joe Brooks', 'description': 'actor'}, {'name': 'Darwin Lamb', 'description': 'actor'}, {'name': 'Paul Stewart', 'description': 'actor'}, {'name': 'Richard Brooks', 'description': 'actor'}, {'name': 'Richard Brooks', 'description': 'author'}]"
Timeless Love,12/26/2019,"Drama, Romance","Free Services, Prime Video",America,Movie,All (G),6.9/10,,"[{'name': 'Brian Brough', 'description': 'director'}, {'name': 'Rachel Skarsten', 'description': 'actor'}, {'name': 'Brant Daugherty', 'description': 'actor'}, {'name': 'Jill Adler', 'description': 'actor'}, {'name': 'Liz Christensen', 'description': 'actor'}, {'name': 'Scott Christopher', 'description': 'actor'}, {'name': 'Rick Macy', 'description': 'actor'}, {'name': 'Terence Goodman', 'description': 'actor'}, {'name': 'Brooklyn Brough', 'description': 'actor'}, {'name': 'Carter Brough', 'description': 'actor'}, {'name': 'Maddox Brough', 'description': 'actor'}, {'name': 'Natalie Devine Riskas', 'description': 'actor'}, {'name': 'Cathy Ford', 'description': 'actor'}, {'name': 'K. Danor Gerald', 'description': 'actor'}, {'name': 'Mary Hall', 'description': 'actor'}, {'name': 'Kristen Marie Jensen', 'description': 'actor'}, {'name': 'Mary Neville', 'description': 'actor'}, {'name': 'Sela Vave', 'description': 'actor'}, {'name': 'Brittany Wiscombe', 'description': 'actor'}, {'name': 'Cole Wiscombe', 'description': 'actor'}, {'name': 'Zoey Wiscombe', 'description': 'actor'}, {'name': 'Yolanda Wood', 'description': 'actor'}, {'name': 'Brittany Wiscombe', 'description': 'author'}]"
The Assassin,12/22/1967,"Drama, Action & Adventure",Prime Video ,Hong Kong,Movie,13+ (PG-13),6.6/10,,"[{'name': 'Chang Cheh', 'description': 'director'}, {'name': 'Jimmy Wang Yu', 'description': 'actor'}, {'name': 'Lisa Chiao Chiao', 'description': 'actor'}, {'name': 'Li Hsiang-Chun', 'description': 'actor'}, {'name': 'Tien Feng', 'description': 'actor'}, {'name': 'Wong Chung-Shun', 'description': 'actor'}, {'name': 'Cliff Lok', 'description': 'actor'}, {'name': 'Lam Jing', 'description': 'actor'}, {'name': 'Fang Mian', 'description': 'actor'}, {'name': 'Cheung Pooi-Saan', 'description': 'actor'}, {'name': 'Wang Kuang-Yu', 'description': 'actor'}, {'name': 'Ma Ying', 'description': 'actor'}, {'name': 'Chiu Sam-Yin', 'description': 'actor'}, {'name': 'Cheng Lui', 'description': 'actor'}, {'name': 'Runme Shaw', 'description': 'actor'}, {'name': 'Chang Cheh', 'description': 'author'}]"
Yummy Mummy,1/1/2005,Documentary,"Free Services, Prime Video",,TV Show,,,1,[]
Seeing the Beginning of Time,6/14/2017,Documentary,"Prime Video, Prime Video",,Movie,,7.3/10,,[]
All You Need Is Love: The Story of Popular Music,2/12/1977,Documentary,Prime Video ,,TV Show,,7.7/10,1,[]
Asia,4/1/2021,Drama,"Free Services, Prime Video",Israel,Movie,,6.7/10,,"[{'name': 'Ruthy Pribar', 'description': 'director'}, {'name': 'Alena Yiv', 'description': 'actor'}, {'name': 'Shira Haas', 'description': 'actor'}, {'name': 'Tamir Mula', 'description': 'actor'}, {'name': 'Gera Sandler', 'description': 'actor'}, {'name': 'Eden Halili', 'description': 'actor'}, {'name': 'Or Barak', 'description': 'actor'}, {'name': 'Aurit Zamir', 'description': 'actor'}, {'name': 'Yoav Roeh', 'description': 'actor'}, {'name': 'Ruthy Pribar', 'description': 'author'}, {'name': 'Karni Postel', 'description': 'actor'}]"
Hidden Moon,11/23/2012,"Drama, Romance","Free Services, Prime Video",Mexico,Movie,7+ (PG),5.4/10,,"[{'name': 'Pepe Bojórquez', 'description': 'director'}, {'name': 'Wes Bentley', 'description': 'actor'}, {'name': 'Ana Serradilla', 'description': 'actor'}, {'name': 'Osvaldo de León', 'description': 'actor'}, {'name': 'Johnathon Schaech', 'description': 'actor'}, {'name': 'Linda Gray', 'description': 'actor'}, {'name': 'Héctor Jiménez', 'description': 'actor'}, {'name': 'Alejandra Ambrosi', 'description': 'actor'}, {'name': 'Angélica María', 'description': 'actor'}, {'name': 'Emily Baldoni', 'description': 'actor'}, {'name': 'Chandra West', 'description': 'actor'}, {'name': 'Jackson Hurst', 'description': 'actor'}, {'name': 'Riley Voelkel', 'description': 'actor'}, {'name': 'Tina Romero', 'description': 'actor'}, {'name': 'Mar Carrera', 'description': 'actor'}, {'name': 'Adriana Louvier', 'description': 'actor'}, {'name': 'David Howard', 'description': 'author'}, {'name': 'Pepe Bojórquez', 'description': 'author'}]"
The Lost Coast,1/1/2008,"Drama, LGBTQ",Free Services,America,Movie,,4.8/10,,"[{'name': 'Gabriel Fleming', 'description': 'director'}, {'name': 'Ian Scott McGregor', 'description': 'actor'}, {'name': 'Lucas Alifano', 'description': 'actor'}, {'name': 'Lindsay Benner', 'description': 'actor'}, {'name': 'Chris Yule', 'description': 'actor'}, {'name': 'Rob Hatzenbeller', 'description': 'actor'}, {'name': 'Bradly Mena', 'description': 'actor'}, {'name': 'Nathan Pratt', 'description': 'actor'}, {'name': 'George Nachtrieb', 'description': 'actor'}, {'name': 'Jon Wolanske', 'description': 'actor'}, {'name': 'Mark Marino', 'description': 'actor'}, {'name': 'Nils Kenaston', 'description': 'actor'}, {'name': 'Sarah Nealis', 'description': 'actor'}, {'name': 'Gabriel Fleming', 'description': 'author'}]"
Last Train Home,6/6/2009,"Drama, Documentary",Fandor,Canada,Movie,,7.6/10,,"[{'name': 'Lixin Fan', 'description': 'director'}, {'name': 'Changhua Zhang', 'description': 'actor'}, {'name': 'Suqin Chen', 'description': 'actor'}, {'name': 'Qin Zhang', 'description': 'actor'}, {'name': 'Yang Zhang', 'description': 'actor'}, {'name': 'Tingsui Tang', 'description': 'actor'}]"
Black Panthers,12/1/1968,"Comedy, Documentary","HBO MAX, Prime Video",France,Movie,,7.3/10,,"[{'name': 'Agnès Varda', 'description': 'director'}, {'name': 'Huey P. Newton', 'description': 'actor'}, {'name': 'Eldridge Cleaver', 'description': 'actor'}, {'name': 'Bobby Seale', 'description': 'actor'}, {'name': 'Stokely Carmichael', 'description': 'actor'}, {'name': 'Ron Dellums', 'description': 'actor'}, {'name': 'James Forman', 'description': 'actor'}, {'name': 'H. Rap Brown', 'description': 'actor'}, {'name': 'Kathleen Cleaver', 'description': 'actor'}, {'name': 'Agnès Varda', 'description': 'author'}]"
Sound of Metal,11/20/2020,"Musical, Drama","Prime Video, Prime Video",United Kingdom,Movie,18+ (R),7.7/10,,"[{'name': 'Darius Marder', 'description': 'director'}, {'name': 'Riz Ahmed', 'description': 'actor'}, {'name': 'Olivia Cooke', 'description': 'actor'}, {'name': 'Paul Raci', 'description': 'actor'}, {'name': 'Lauren Ridloff', 'description': 'actor'}, {'name': 'Mathieu Amalric', 'description': 'actor'}, {'name': 'Tom Kemp', 'description': 'actor'}, {'name': 'Chris Perfetti', 'description': 'actor'}, {'name': 'Hillary Baack', 'description': 'actor'}, {'name': 'Chelsea Lee', 'description': 'actor'}, {'name': 'Shaheem Sanchez', 'description': 'actor'}, {'name': 'Rena Maliszewski', 'description': 'actor'}, {'name': 'Michael Tow', 'description': 'actor'}, {'name': 'William Xifaras', 'description': 'actor'}, {'name': 'Jamie Ghazarian', 'description': 'actor'}, {'name': 'David Arthur Sousa', 'description': 'actor'}, {'name': 'Bill Thorpe', 'description': 'actor'}, {'name': 'Marisa Defranco', 'description': 'actor'}, {'name': 'Jeremy Lee Stone', 'description': 'actor'}, {'name': 'Alex Kilgore', 'description': 'actor'}, {'name': 'Dani Miller', 'description': 'actor'}, {'name': 'Sean Powell', 'description': 'actor'}, {'name': 'Bert Hamelinck', 'description': 'actor'}, {'name': 'Bill Benz', 'description': 'actor'}]"
Along the Great Divide,6/2/1951,"Romance, Action & Adventure",Prime Video ,America,Movie,,6.8/10,,"[{'name': 'Raoul Walsh', 'description': 'director'}, {'name': 'Kirk Douglas', 'description': 'actor'}, {'name': 'Virginia Mayo', 'description': 'actor'}, {'name': 'John Agar', 'description': 'actor'}, {'name': 'Walter Brennan', 'description': 'actor'}, {'name': 'Ray Teal', 'description': 'actor'}, {'name': 'Hugh Sanders', 'description': 'actor'}, {'name': 'Morris Ankrum', 'description': 'actor'}, {'name': 'James Anderson', 'description': 'actor'}, {'name': 'Charles Meredith', 'description': 'actor'}, {'name': 'Anthony Veiller', 'description': 'actor'}, {'name': 'Lewis Meltzer', 'description': 'author'}, {'name': 'Walter Doniger', 'description': 'author'}]"
Primrose Path,3/22/1940,"Romance, Drama",Prime Video ,America,Movie,,6.9/10,,"[{'name': 'Gregory La Cava', 'description': 'director'}, {'name': 'Ginger Rogers', 'description': 'actor'}, {'name': 'Joel McCrea', 'description': 'actor'}, {'name': 'Marjorie Rambeau', 'description': 'actor'}, {'name': 'Henry Travers', 'description': 'actor'}, {'name': 'Miles Mander', 'description': 'actor'}, {'name': 'Queenie Vassar', 'description': 'actor'}, {'name': 'Joan Carroll', 'description': 'actor'}, {'name': 'Vivienne Osborne', 'description': 'actor'}, {'name': 'Carmen Morales', 'description': 'actor'}, {'name': 'Bobby Barber', 'description': 'actor'}, {'name': 'Louise Beavers', 'description': 'actor'}, {'name': 'Edgar Dearing', 'description': 'actor'}, {'name': 'Jack Gargan', 'description': 'actor'}, {'name': 'Robert Emmett Keane', 'description': 'actor'}, {'name': 'Charles Lane', 'description': 'actor'}, {'name': 'Matt McHugh', 'description': 'actor'}, {'name': 'Ernie Adams', 'description': 'actor'}, {'name': 'Mara Alexander', 'description': 'actor'}, {'name': 'Ray Cooke', 'description': 'actor'}, {'name': 'Herbert Corthell', 'description': 'actor'}, {'name': 'Jacqueline Dalya', 'description': 'actor'}, {'name': 'Gregory La Cava', 'description': 'actor'}, {'name': 'Allan Scott', 'description': 'author'}]"
The Chinese Man,6/25/2011,"Mystery, Thriller","Free Services, Prime Video",Austria,Movie,,10-Jun,,"[{'name': 'Peter Keglevic', 'description': 'director'}, {'name': 'Suzanne von Borsody', 'description': 'actor'}, {'name': 'Michael Nyqvist', 'description': 'actor'}, {'name': 'Claudia Michelsen', 'description': 'actor'}, {'name': 'Jimmy Taenaka', 'description': 'actor'}, {'name': 'Amy Cheng', 'description': 'actor'}, {'name': 'Joachim Bißmeier', 'description': 'actor'}, {'name': 'Roeland Wiesnekker', 'description': 'actor'}, {'name': 'Ee Ping Hin Derrick', 'description': 'actor'}, {'name': 'August Schmölzer', 'description': 'actor'}, {'name': 'Karlheinz Hackl', 'description': 'actor'}, {'name': 'Nicole Beutler', 'description': 'actor'}, {'name': 'Franziska Weisz', 'description': 'actor'}, {'name': 'Martin Loos', 'description': 'actor'}, {'name': 'Peter Benedict', 'description': 'actor'}, {'name': 'Katja Weitzenböck', 'description': 'actor'}, {'name': 'Chou Heng-Yin', 'description': 'actor'}, {'name': 'Peter Gilbert Cotton', 'description': 'actor'}, {'name': 'Nahoko Fort-Nishigami', 'description': 'actor'}, {'name': 'Romana Carén', 'description': 'actor'}, {'name': 'Christoph Moosbrugger', 'description': 'actor'}, {'name': 'Ilse Peternell', 'description': 'actor'}, {'name': 'Boris Ausserer', 'description': 'actor'}, {'name': 'Peter Wirthensohn', 'description': 'actor'}]"
"Scaler, Dark Spirit",6/18/2016,"Horror, Mystery","Free Services, Prime Video",,Movie,18+ (R),3.5/10,,"[{'name': 'Dan T. Hall', 'description': 'director'}, {'name': 'Nathan Bechtold', 'description': 'actor'}, {'name': 'Ran Burns', 'description': 'actor'}, {'name': 'Jessica Froelich', 'description': 'actor'}, {'name': 'Moli Hall', 'description': 'actor'}]"
Tut's Final Secrets,1/26/2020,Documentary,Prime Video ,,TV Show,,10-Aug,1,[]
"Peter Gabriel: New Blood, Live In London",10/24/2011,Musical,"Free Services, Prime Video",United Kingdom,Movie,,8.1/10,,"[{'name': 'Blue Leach', 'description': 'director'}, {'name': 'Peter Gabriel', 'description': 'actor'}]"
A Heart That Forgives,10/31/2016,Drama,"Free Services, Prime Video",America,Movie,7+ (PG),6.6/10,,"[{'name': 'M. Legend Brown', 'description': 'director'}, {'name': 'Mario Mims', 'description': 'actor'}, {'name': 'Nikki Dixon', 'description': 'actor'}, {'name': 'Charles Malik Whitfield', 'description': 'actor'}, {'name': ""Kelly O'Neil Jackson"", 'description': 'actor'}, {'name': 'Carl Anthony Payne II', 'description': 'actor'}, {'name': 'Irma P. Hall', 'description': 'actor'}, {'name': 'Pilar Sanders', 'description': 'actor'}, {'name': 'Kenneisha Thompson', 'description': 'actor'}, {'name': 'Tammy Thomas', 'description': 'actor'}, {'name': 'Lorey Hayes', 'description': 'actor'}, {'name': 'Gail Cronauer', 'description': 'actor'}, {'name': 'Jasmine Shanise', 'description': 'actor'}, {'name': 'Deanne Lauvin', 'description': 'actor'}, {'name': 'Grover Coulson', 'description': 'actor'}, {'name': 'Kerry McCormick', 'description': 'actor'}, {'name': 'Mila McCoy', 'description': 'actor'}, {'name': 'T.K. Henderson', 'description': 'author'}]"
In the Blink of an Eye,3/24/1996,"Biography, Drama","Free Services, Prime Video",,Movie,,5.5/10,,"[{'name': 'Micki Dickoff', 'description': 'director'}, {'name': 'Veronica Hamel', 'description': 'actor'}, {'name': 'Mimi Rogers', 'description': 'actor'}, {'name': 'Carlos Gómez', 'description': 'actor'}, {'name': 'Jeffrey Dean Morgan', 'description': 'actor'}, {'name': 'T.J. Lowther', 'description': 'actor'}]"
China in Ethiopia,,Documentary,Free Services,,Movie,,,,[]
Bearskin: An Urban Fairytale,11/5/1989,,"Free Services, Prime Video",Portugal,Movie,,6.3/10,,"[{'name': 'Ann Guedes', 'description': 'director'}, {'name': 'Eduardo Guedes', 'description': 'director'}, {'name': 'Tom Waits', 'description': 'actor'}, {'name': 'Damon Lowry', 'description': 'actor'}, {'name': 'Charlotte Coleman', 'description': 'actor'}, {'name': 'Júlia Britton', 'description': 'actor'}, {'name': 'Bill Paterson', 'description': 'actor'}, {'name': 'Isabel Ruth', 'description': 'actor'}, {'name': 'Ian Dury', 'description': 'actor'}, {'name': 'Alex Norton', 'description': 'actor'}, {'name': 'Mark Arden', 'description': 'actor'}, {'name': 'Pip Torrens', 'description': 'actor'}, {'name': 'David Gant', 'description': 'actor'}, {'name': 'Karl Collins', 'description': 'actor'}, {'name': 'Arthur Whybrow', 'description': 'actor'}]"
La Grande Bouffe,5/16/1973,"Comedy, Drama",Free Services,France,Movie,18+ (R),7.1/10,,"[{'name': 'Marco Ferreri', 'description': 'director'}, {'name': 'Marcello Mastroianni', 'description': 'actor'}, {'name': 'Ugo Tognazzi', 'description': 'actor'}, {'name': 'Michel Piccoli', 'description': 'actor'}, {'name': 'Philippe Noiret', 'description': 'actor'}, {'name': 'Andréa Ferréol', 'description': 'actor'}, {'name': 'Solange Blondeau', 'description': 'actor'}, {'name': 'Florence Giorgetti', 'description': 'actor'}, {'name': 'Michèle Alexandre', 'description': 'actor'}, {'name': 'Monique Chaumette', 'description': 'actor'}, {'name': 'Henri Piccoli', 'description': 'actor'}, {'name': 'Giuseppe Maffioli', 'description': 'actor'}, {'name': 'Maurice Dorléac', 'description': 'actor'}, {'name': 'Simon Tchao', 'description': 'actor'}, {'name': 'Louis Navarre', 'description': 'actor'}, {'name': 'Bernard Ménez', 'description': 'actor'}, {'name': 'Cordelia Piccoli', 'description': 'actor'}, {'name': 'Jérôme Richard', 'description': 'actor'}, {'name': 'Patricia Milochevitch', 'description': 'actor'}, {'name': 'James Campbell', 'description': 'actor'}, {'name': 'Eva Simonet', 'description': 'actor'}, {'name': 'Gérard Boucaron', 'description': 'actor'}, {'name': 'Vincent Malle', 'description': 'actor'}, {'name': 'Francis Blanche', 'description': 'author'}]"
The Yearling,12/18/1946,"Family, Drama",Prime Video ,America,Movie,All (G),7.2/10,,"[{'name': 'Clarence Brown', 'description': 'director'}, {'name': 'Gregory Peck', 'description': 'actor'}, {'name': 'Jane Wyman', 'description': 'actor'}, {'name': 'Claude Jarman Jr.', 'description': 'actor'}, {'name': 'Chill Wills', 'description': 'actor'}, {'name': 'Clem Bevans', 'description': 'actor'}, {'name': 'Margaret Wycherly', 'description': 'actor'}, {'name': 'Henry Travers', 'description': 'actor'}, {'name': 'Forrest Tucker', 'description': 'actor'}, {'name': 'Donn Gift', 'description': 'actor'}, {'name': 'June Lockhart', 'description': 'actor'}, {'name': 'Joan Wells', 'description': 'actor'}, {'name': 'Jeff York', 'description': 'actor'}, {'name': 'Sidney Franklin', 'description': 'actor'}, {'name': 'Marjorie Kinnan Rawlings', 'description': 'author'}, {'name': 'Paul Osborn', 'description': 'author'}, {'name': 'Herbert Stothart', 'description': 'actor'}]"
In Bright Axiom,6/7/2019,"Documentary, Fantasy","Free Services, Prime Video",,Movie,,5.9/10,,"[{'name': 'Spencer McCall', 'description': 'director'}, {'name': 'Geordie Aitken', 'description': 'actor'}, {'name': 'Tracy Pfau', 'description': 'actor'}, {'name': 'Anna Seregina', 'description': 'actor'}, {'name': 'Haley Who', 'description': 'actor'}]"
